"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
0.632455532033676,0.666666666666667,1,0.5,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
