Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff
ARG1,1.6496407236923701e-15,1,8.52042747824858,3,2
GATA3,1.6496407236923701e-15,2,6.60713503442226,4,2
IL10,1.6496407236923701e-15,3,5.87124870824546,5,2
MMP9,1.6496407236923701e-15,4,10.0514265801149,1,3
S100A8,1.6496407236923701e-15,5,8.52588206137892,2,3
CD177,1.8833006837855103e-15,6,4.57610204315286,7,1
S100A12,1.8833006837855103e-15,7,3.88158394302364,9,2
SOCS3,1.8833006837855103e-15,8,4.54722873817489,8,0
TLR2,8.240748394360631e-15,9,5.57170832283965,6,3
HLA-DRA,9.0780177975621e-15,10,3.45676816474448,10,0
BCL2,3.84585503880155e-14,11,2.85664228979993,11,0
C3AR1,1.20286632417281e-13,12,1.7431679271187,13,1
TLR4,1.39689076776317e-13,13,1.11112456053487,17,4
IL1R2,2.59317169183095e-13,14,2.68253931820674,12,2
MMP8,2.59317169183095e-13,15,1.64330328323496,14,1
NOTCH1,5.42352116452961e-13,16,0.400633773052915,22,6
CCR7,6.334854384044489e-13,17,1.50628807543424,15,2
ELANE,9.38673809353632e-13,18,0.537847716500574,21,3
ITGAM,4.1410258355448296e-12,19,1.18391673004436,16,3
OLFM4,7.8623418711414e-12,20,0.923756039664079,18,2
TNFSF10,3.13744820305424e-10,21,0.149857612213873,32,11
LBP,1.3824828665581301e-9,22,0.248099440586557,25,3
CCL19,2.63753682723812e-9,23,0.275631836203434,24,1
S100A9,2.63753682723812e-9,24,0.38510338716869,23,1
PDCD1,1.02719235475798e-8,25,0.192631841769932,28,3
CCL2,2.36302231912419e-8,26,0.172586685942462,29,3
MAPK14,2.68868643211375e-8,27,0.776355042223114,19,8
LCN2,2.75201757443528e-8,28,0.606057335311169,20,8
PTX3,4.6479973297242e-8,29,0.133179580863579,33,4
IFNA2,4.94259424796661e-7,30,0.0858600597787803,38,8
IFNB1,6.9018505837689e-7,31,0.11465600833023,35,4
IL6,1.18686844146571e-6,32,0.048528554658001,47,15
CX3CR1,1.53027487540718e-6,33,0.156768281345593,31,2
CD14,1.79255417773377e-6,34,0.233962613924943,26,8
IL1B,2.10279407997081e-6,35,0.0420258212565398,49,14
CRP,2.75994775083689e-6,36,0.0765080007445101,40,4
CXCL10,2.75994775083689e-6,37,0.158421762853052,30,7
VCAM1,2.88774657939706e-6,38,0.0609683688254306,42,4
CALCA,5.27052169473323e-6,39,0.0797908946634158,39,0
CCL25,5.2730505230182e-6,40,0.0487002876649262,46,6
HIF1A,9.47961008632394e-6,41,0.0574302335476758,43,2
C5AR1,1.20030078136501e-5,42,0.126377419789393,34,8
NLRP3,1.42258278949951e-5,43,0.195106999511555,27,16
IFNG,3.37845893249765e-5,44,0.0435459030058308,48,4
HMGB1,1.1560897543047e-4,45,0.113660110216903,36,9
ICAM1,1.1566818726964e-4,46,0.0338146420067758,51,5
IL8,1.2248107969757e-4,47,0.0377100953806989,50,3
CCR2,0.00264808110962607,48,0.0625374793546687,41,7
TNF,0.0146511470255538,49,0.0312815455421281,52,3
MYD88,0.0407618529629447,50,0.0999240261475731,37,13
P2RX7,0.0566250829740517,51,0.055642090065357,44,7
TREM1,0.248585957791198,52,0.01908151857455,53,1
PLAUR,0.819600655205803,53,0.0494574834648179,45,8
